fitness,iteraciones,tiempoEjecucion
0.001065,159,99
0.00105,148,97
0.001086,168,138
0.001161,192,178
0.00103,265,187
0.00243,336,134
0.001031,176,60
0.001096,108,56
0.001028,127,50
0.001039,120,96
0.001031,134,85
0.001039,188,120
0.001043,210,91
0.0025225,141,59
0.001026,115,40
0.0034375,108,13
0.0023725,212,84
0.0024625,224,81
0.001067,111,62
0.00251,199,72
0.001032,240,164
0.001651,169,83
0.002535,210,118
0.001033,199,149
0.001467,148,70
0.002485,174,76
0.001025,171,68
0.001028,221,180
0.001056,135,106
0.001014,228,79
0.001526,109,62
0.003445,110,15
0.001106,112,64
0.001021,172,65
0.001756,160,98
0.00251,237,86
0.0025075,135,38
0.001023,170,80
0.002505,203,78
0.00103,191,137
0.0025475,109,71
0.001026,154,77
0.001058,216,122
0.001019,219,171
0.001031,209,93
0.001037,288,149
0.0025125,125,45
0.0025325,184,71
0.001051,144,108
0.001028,181,69
0.00252,234,91
0.001236,123,56
0.001253,119,53
0.001035,167,125
0.001039,277,168
0.001026,132,34
0.001022,168,69
0.001071,141,88
0.00263,144,81
9.83E-4,197,186
0.00262,144,133
0.001081,157,135
0.00263,112,54
0.001051,127,96
0.001034,221,80
0.001254,173,137
0.001041,181,109
0.001086,151,144
0.001057,145,110
0.001041,141,85
0.001091,114,92
0.001172,126,110
0.001425,109,105
0.001039,144,92
0.001005,177,75
0.001044,160,64
0.00107,192,104
0.001147,113,116
0.001097,123,120
0.001061,123,73
0.0038875,102,16
0.001067,242,172
0.001076,120,44
0.001083,204,201
0.00258,137,96
0.002635,131,94
0.001069,143,123
0.001063,129,87
0.001164,199,172
0.001133,190,145
0.00239,240,118
0.001038,245,191
0.001101,144,146
0.00109,117,65
0.0025975,285,143
0.00169,128,64
0.001034,288,130
0.00311,108,20
0.001702,122,79
0.001627,130,126
0.0036075,103,46
0.001068,198,168
0.001113,148,126
0.001173,128,107
0.0023425,180,97
9.84E-4,124,109
0.0026175,146,63
0.001065,132,99
0.001112,141,138
0.0026475,121,108
0.001304,292,309
0.00614,113,30
0.002455,243,93
0.001114,131,104
0.002675,121,116
0.002395,205,97
0.00249,137,70
0.001195,189,158
0.0024775,189,91
0.001155,209,108
0.0025125,165,65
0.001067,155,89
0.001021,215,97
0.0024825,263,155
0.002575,202,119
0.0025525,352,159
0.002575,264,114
0.0025975,121,72
9.63E-4,309,103
0.001481,135,52
0.001052,145,61
0.001053,128,99
0.001067,158,116
0.00107,138,111
0.001029,175,64
0.001043,145,126
0.002465,304,134
0.0026025,207,145
0.00517,133,20
0.001033,244,86
0.001077,142,72
0.001702,136,103
0.001044,214,107
0.0026775,105,77
9.93E-4,220,70
0.001093,150,141
0.001058,132,58
0.001242,113,103
0.00291,106,15
0.001269,110,12
0.0026125,139,110
9.67E-4,406,229
0.001645,186,198
0.0031925,110,24
0.001788,106,54
0.001222,118,110
0.00263,219,160
0.001556,129,44
0.001286,135,98
0.00262,132,65
